City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Bilma,NE,2021-08-13 18:28:13,18.69,12.92,99.81,17,1,0.83,clear sky
127,Cape Canaveral,US,2021-08-13 18:28:14,28.41,-80.6,91.65,81,20,13.8,thunderstorm
128,Upernavik,GL,2021-08-13 18:28:14,72.79,-56.15,43.57,92,100,9.01,light rain
129,Mataura,NZ,2021-08-13 18:28:14,-46.19,168.86,42.48,97,52,11.43,light rain
130,Souillac,MU,2021-08-13 18:28:14,-20.52,57.52,68.36,88,20,6.91,few clouds
131,Mafeteng,LS,2021-08-13 18:28:15,-29.82,27.24,41.74,79,98,9.93,moderate rain
132,Azuaga,ES,2021-08-13 18:28:15,38.27,-5.68,101.97,19,61,9.93,broken clouds
133,Stepnyak,KZ,2021-08-13 18:28:15,52.83,70.78,52.88,70,80,6.96,broken clouds
134,Porto Novo,BJ,2021-08-13 18:28:16,6.5,2.6,78.62,78,99,8.32,overcast clouds
135,Lagunas,PE,2021-08-13 18:28:16,-5.23,-75.68,86.02,61,91,1.57,overcast clouds
136,Fairview,US,2021-08-13 18:24:07,40.81,-74.0,98.55,42,1,4.61,clear sky
137,Talnakh,RU,2021-08-13 18:27:08,69.49,88.4,54.63,76,100,6.22,overcast clouds
138,Jutai,BR,2021-08-13 18:28:16,-5.18,-68.9,97.47,27,48,3.58,scattered clouds
139,Faya,SA,2021-08-13 18:27:16,18.39,42.45,71.71,49,84,3.96,broken clouds
140,Carnarvon,AU,2021-08-13 18:28:17,-24.87,113.63,51.87,65,0,9.22,clear sky
141,Pudozh,RU,2021-08-13 18:28:17,61.81,36.53,56.05,92,96,11.25,overcast clouds
142,Lokoja,NG,2021-08-13 18:28:17,7.8,6.74,75.56,92,71,3.2,moderate rain
143,Arraial Do Cabo,BR,2021-08-13 18:28:17,-22.97,-42.03,67.86,83,75,13.8,light intensity drizzle
144,Puerto Ayora,EC,2021-08-13 18:28:18,-0.74,-90.35,76.96,71,89,12.21,overcast clouds
145,Touros,BR,2021-08-13 18:28:18,-5.2,-35.46,81.5,65,43,19.19,scattered clouds
146,Teya,RU,2021-08-13 18:28:18,60.38,92.63,56.66,98,77,1.1,broken clouds
147,Nogliki,RU,2021-08-13 18:28:18,51.83,143.17,53.78,91,87,8.41,overcast clouds
148,Codrington,AU,2021-08-13 18:28:03,-38.27,141.97,46.02,95,37,9.01,scattered clouds
149,Dakar,SN,2021-08-13 18:28:19,14.69,-17.44,85.08,79,75,6.91,broken clouds
150,Port Augusta,AU,2021-08-13 18:28:19,-32.5,137.77,41.7,78,3,3.49,clear sky
151,Ndende,GA,2021-08-13 18:28:19,-2.4,11.36,83.1,56,61,6.42,broken clouds
152,Cap Malheureux,MU,2021-08-13 18:28:20,-19.98,57.61,68.47,84,11,3.0,few clouds
153,Yermakovskoye,RU,2021-08-13 18:28:20,53.28,92.4,63.84,99,100,8.43,heavy intensity rain
154,Upata,VE,2021-08-13 18:28:20,8.01,-62.4,82.65,64,98,5.73,overcast clouds
155,Pasni,PK,2021-08-13 18:28:20,25.26,63.47,79.41,82,76,10.87,broken clouds
156,Bodden Town,KY,2021-08-13 18:28:21,19.28,-81.25,87.8,70,40,2.3,scattered clouds
157,Banda Aceh,ID,2021-08-13 18:28:21,5.56,95.32,78.1,85,100,13.69,overcast clouds
158,Celestun,MX,2021-08-13 18:27:07,20.87,-90.4,87.22,61,21,12.17,few clouds
159,Choix,MX,2021-08-13 18:28:21,26.71,-108.32,89.85,52,60,3.44,broken clouds
160,Alice Springs,AU,2021-08-13 18:28:21,-23.7,133.88,40.55,42,1,4.61,clear sky
161,Nikolskoye,RU,2021-08-13 18:28:22,59.7,30.79,67.01,74,0,5.48,clear sky
162,Puerto Escondido,MX,2021-08-13 18:28:22,15.85,-97.07,83.23,74,90,5.75,overcast clouds
163,Lasa,IT,2021-08-13 18:28:22,46.62,10.7,77.88,71,94,1.12,overcast clouds
164,Mayo,US,2021-08-13 18:28:23,38.89,-76.51,101.08,64,37,3.0,scattered clouds
165,Bakchar,RU,2021-08-13 18:28:23,57.02,82.07,52.5,76,55,5.21,broken clouds
166,Marawi,PH,2021-08-13 18:28:23,8.0,124.29,66.65,93,100,2.59,moderate rain
167,Newala,TZ,2021-08-13 18:28:23,-10.94,39.28,67.14,72,43,9.26,scattered clouds
168,Krasnoselkup,RU,2021-08-13 18:28:24,65.7,82.47,55.62,92,100,7.52,overcast clouds
169,Krasnyy Chikoy,RU,2021-08-13 18:28:24,50.36,108.75,55.54,94,63,3.56,broken clouds
170,Kingaroy,AU,2021-08-13 18:28:24,-26.53,151.83,52.03,100,90,0.0,overcast clouds
171,Sinnamary,GF,2021-08-13 18:28:25,5.38,-52.95,82.24,81,75,10.47,broken clouds
172,Naryan-Mar,RU,2021-08-13 18:26:50,67.67,53.09,58.73,99,100,7.83,overcast clouds
173,Abu Dhabi,AE,2021-08-13 18:28:25,24.47,54.37,93.31,84,0,5.75,clear sky
174,Nouadhibou,MR,2021-08-13 18:27:48,20.93,-17.03,75.18,73,2,20.71,sand
175,Coracora,PE,2021-08-13 18:28:25,-15.03,-73.78,61.54,26,0,10.38,clear sky
176,Wad Madani,SD,2021-08-13 18:28:26,14.4,33.52,90.01,54,93,4.5,overcast clouds
177,Nicoya,CR,2021-08-13 18:28:26,10.15,-85.45,85.55,69,79,3.69,broken clouds
178,Ilulissat,GL,2021-08-13 18:26:35,69.22,-51.1,53.62,50,75,16.11,light rain
179,Hasaki,JP,2021-08-13 18:28:26,35.73,140.83,77.4,92,100,27.54,moderate rain
180,Sao Felix Do Xingu,BR,2021-08-13 18:28:26,-6.64,-52.0,99.14,21,99,5.75,overcast clouds
181,Mount Isa,AU,2021-08-13 18:28:27,-20.73,139.5,67.77,37,90,11.5,overcast clouds
182,Chuy,UY,2021-08-13 18:28:27,-33.7,-53.46,56.16,67,1,8.01,clear sky
183,Yerofey Pavlovich,RU,2021-08-13 18:28:27,53.97,121.97,52.81,80,19,2.93,few clouds
184,Bonthe,SL,2021-08-13 18:28:28,7.53,-12.5,75.33,91,100,10.6,moderate rain
185,Buraydah,SA,2021-08-13 18:28:28,26.33,43.98,102.65,11,19,11.99,few clouds
186,Sawtell,AU,2021-08-13 18:28:28,-30.38,153.1,59.02,92,90,5.75,overcast clouds
187,Tavda,RU,2021-08-13 18:28:28,58.04,65.27,58.01,68,94,5.06,overcast clouds
188,Shenjiamen,CN,2021-08-13 18:28:29,29.96,122.3,80.46,89,100,16.11,overcast clouds
189,Arrecife,ES,2021-08-13 18:28:29,28.96,-13.55,76.98,73,20,19.57,few clouds
190,Boddam,GB,2021-08-13 18:28:30,57.47,-1.78,62.98,74,67,13.8,broken clouds
191,Isangel,VU,2021-08-13 18:26:25,-19.55,169.27,64.51,82,40,6.91,scattered clouds
192,Krasnaya Gorka,RU,2021-08-13 18:28:31,55.2,56.67,59.16,60,70,3.91,broken clouds
193,Ahipara,NZ,2021-08-13 18:28:31,-35.17,173.17,53.4,74,44,10.04,scattered clouds
194,Xaltianguis,MX,2021-08-13 18:28:31,17.07,-99.83,80.11,61,10,5.64,clear sky
195,Ilo,PE,2021-08-13 18:28:31,-17.64,-71.34,63.46,77,75,9.55,broken clouds
196,Taonan,CN,2021-08-13 18:28:32,45.33,122.78,60.62,95,7,5.88,clear sky
197,Qasigiannguit,GL,2021-08-13 18:28:32,68.82,-51.19,53.85,85,100,7.02,overcast clouds
198,Suriapet,IN,2021-08-13 18:28:32,17.15,79.62,78.66,82,100,6.51,moderate rain
199,Pevek,RU,2021-08-13 18:28:33,69.7,170.31,37.94,99,100,11.7,light rain
200,Yining,CN,2021-08-13 18:28:33,29.04,114.56,75.94,99,99,2.57,light rain
201,Man,CI,2021-08-13 18:28:33,7.41,-7.55,73.96,93,85,3.11,light rain
202,Sao Joao Da Barra,BR,2021-08-13 18:28:33,-21.64,-41.05,75.29,79,23,14.65,few clouds
203,Hamilton,US,2021-08-13 18:28:34,39.18,-84.53,92.59,69,75,4.0,broken clouds
204,Tran,BG,2021-08-13 18:28:34,42.84,22.65,74.88,51,13,5.1,few clouds
205,Shingu,JP,2021-08-13 18:28:34,33.73,135.98,79.92,93,100,12.86,moderate rain
206,Sungaipenuh,ID,2021-08-13 18:28:34,-2.08,101.38,63.79,96,59,2.37,broken clouds
207,Nangomba,TZ,2021-08-13 18:28:35,-10.9,38.5,78.66,50,77,10.87,broken clouds
208,Esperance,AU,2021-08-13 18:28:35,-33.87,121.9,40.84,51,2,10.45,clear sky
209,Las Navas,PH,2021-08-13 18:28:35,12.34,125.03,75.51,97,57,0.36,broken clouds
210,Vanavara,RU,2021-08-13 18:28:36,60.34,102.28,57.74,92,67,3.56,broken clouds
211,Hay River,CA,2021-08-13 18:28:36,60.82,-115.8,75.18,50,75,10.36,broken clouds
212,Palmer,US,2021-08-13 18:28:36,42.16,-72.33,94.98,55,40,4.61,scattered clouds
213,Luderitz,NA,2021-08-13 18:28:36,-26.65,15.16,65.48,33,0,19.69,clear sky
214,Portland,US,2021-08-13 18:27:32,45.52,-122.68,92.21,55,75,3.44,smoke
215,Suoyarvi,RU,2021-08-13 18:28:37,62.08,32.35,55.85,92,77,5.75,broken clouds
216,Ponta Do Sol,PT,2021-08-13 18:28:37,32.67,-17.1,76.71,74,1,3.67,clear sky
217,Morant Bay,JM,2021-08-13 18:28:37,17.88,-76.41,85.62,83,100,6.8,overcast clouds
218,Reyes,BO,2021-08-13 18:28:37,-14.32,-67.38,80.76,41,20,3.44,few clouds
219,Warrington,GB,2021-08-13 18:28:10,53.39,-2.58,68.92,64,20,5.01,few clouds
220,Trinidad,BO,2021-08-13 18:28:38,-14.83,-64.9,84.18,26,3,9.22,clear sky
221,Santa Marta,CO,2021-08-13 18:28:38,11.24,-74.2,92.34,75,63,6.64,broken clouds
222,Twin Falls,US,2021-08-13 18:28:38,42.35,-114.64,82.74,32,1,5.75,clear sky
223,Chikwawa,MW,2021-08-13 18:28:39,-16.03,34.8,76.8,34,0,5.99,clear sky
224,Gat,IL,2021-08-13 18:25:04,31.61,34.76,85.41,45,0,6.06,clear sky
225,Omboue,GA,2021-08-13 18:28:15,-1.57,9.26,76.26,82,80,8.66,broken clouds
226,Lorengau,PG,2021-08-13 18:28:39,-2.02,147.27,81.32,76,88,8.88,overcast clouds
227,Nanortalik,GL,2021-08-13 18:28:39,60.14,-45.24,49.46,86,34,2.62,scattered clouds
228,Bud,US,2021-08-13 18:28:40,39.45,-86.18,84.04,84,73,4.65,broken clouds
229,Mahon,ES,2021-08-13 18:28:40,39.89,4.27,82.96,74,0,8.05,clear sky
230,Thongwa,MM,2021-08-13 18:28:40,16.76,96.53,80.76,88,100,5.37,light rain
231,Saint-Pierre,RE,2021-08-13 18:27:31,-21.34,55.48,71.24,80,0,5.75,clear sky
