City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
264,Bruckmuhl,DE,79.88,broken clouds,47.88,11.92,Gasthof-Hotel Zur schönen Aussicht
266,Hambantota,LK,80.94,scattered clouds,6.12,81.12,Bungalow 63
267,Itoman,JP,81.37,scattered clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
271,Anloga,GH,79.02,overcast clouds,5.79,0.9,Pin Drop Hotel
272,Huarmey,PE,69.08,scattered clouds,-10.07,-78.15,Hotel Miramar
273,Eyl,SO,76.73,scattered clouds,7.98,49.82,DAAWAD HOTEL EYL
274,Manokwari,ID,77.22,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
276,Veshenskaya,RU,67.1,moderate rain,49.63,41.73,Kazachiy Kuren Inn
277,Makakilo City,US,80.92,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
278,Oyama,JP,76.87,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
279,Akdepe,TM,75.29,clear sky,42.06,59.38,Мой дом
282,Waingapu,ID,75.92,scattered clouds,-9.66,120.26,Pondok Wisata Elim
283,Burayevo,RU,65.19,few clouds,55.84,55.41,"Gostnitsa ""Tanyp"""
285,Padang,ID,77.36,broken clouds,-0.95,100.35,Mercure Padang
288,Kavieng,PG,81.37,overcast clouds,-2.57,150.8,Nusa Island Retreat
289,Qui Nhon,VN,80.51,overcast clouds,13.77,109.23,Hoang Yen Canary Hotel
290,Bathsheba,BB,88.41,scattered clouds,13.22,-59.52,Atlantis Hotel
291,Saint-Philippe,RE,71.15,few clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
294,Athmallik,IN,82.18,overcast clouds,20.72,84.53,"Mishra resident and Advocate chamber,Bangalasahi,Athamallik,Angul"
295,Carai,BR,76.14,scattered clouds,-17.19,-41.69,Pousada Auto Vale
297,Santa Rosa,PH,82.38,overcast clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
299,Sechura,PE,76.01,broken clouds,-5.56,-80.82,Hospedaje Costa Bella
300,Peniche,PT,83.68,clear sky,39.36,-9.38,Hotel Star inn Peniche
301,San Ignacio,BZ,89.74,scattered clouds,17.16,-89.07,Rainforest Haven Inn
302,Dicabisagan,PH,78.37,few clouds,17.08,122.42,Nancy Montanes Bernardo
303,Limbe,CM,76.93,scattered clouds,4.02,9.21,The LK Hotel at Bonadikombo
304,Vila Velha,BR,78.75,clear sky,-20.33,-40.29,Quality Suites Vila Velha
305,Paveh,IR,75.7,clear sky,35.04,46.36,بنگاه معاملات ملکی
309,Paraiso,CR,77.88,overcast clouds,9.84,-83.87,Rinconcito Verde
311,Victoria,HK,85.32,overcast clouds,22.29,114.16,Mini Hotel Central
