City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Viedma,AR,2021-08-06 05:23:11,-40.8135,-62.9967,57.25,45,50,13.2
130,Soyo,AO,2021-08-06 05:23:12,-6.1349,12.3689,73.45,88,2,5.21
131,Whitehorse,CA,2021-08-06 05:23:12,60.7161,-135.0538,64.02,72,90,11.5
132,Vysokogornyy,RU,2021-08-06 05:23:13,50.1167,139.15,62.56,98,100,2.68
133,Bengkulu,ID,2021-08-06 05:23:14,-3.8004,102.2655,84.42,66,93,5.77
134,Fortuna,US,2021-08-06 05:23:14,40.5982,-124.1573,61.93,72,90,1.01
135,Banyo,CM,2021-08-06 05:23:15,6.75,11.8167,64.0,94,100,2.95
136,Pevek,RU,2021-08-06 05:23:15,69.7008,170.3133,39.56,92,99,4.7
137,Loding,NO,2021-08-06 05:23:16,67.3,14.75,55.31,90,0,11.5
138,Kholodnyy,RU,2021-08-06 05:23:16,62.7167,147.95,49.03,66,100,10.27
139,Lorengau,PG,2021-08-06 05:23:17,-2.0226,147.2712,82.72,80,17,10.8
140,Mtwara,TZ,2021-08-06 05:23:17,-10.2667,40.1833,72.0,81,4,6.08
141,Tual,ID,2021-08-06 05:23:18,-5.6667,132.75,80.96,76,67,23.58
142,San Francisco,US,2021-08-06 05:22:33,37.7749,-122.4194,64.47,85,90,5.99
143,Cape Town,ZA,2021-08-06 05:19:46,-33.9258,18.4232,52.12,95,0,3.44
144,Iberia,US,2021-08-06 05:23:19,29.9502,-91.7507,75.27,94,1,0.0
145,Hobyo,SO,2021-08-06 05:23:19,5.3505,48.5268,78.37,73,67,25.41
146,Hofn,IS,2021-08-06 05:23:20,64.2539,-15.2082,52.61,87,92,2.37
147,Richards Bay,ZA,2021-08-06 05:23:06,-28.783,32.0377,59.23,88,0,8.5
148,Berbera,SO,2021-08-06 05:23:21,10.4396,45.0143,90.66,39,69,19.51
149,Parfenyevo,RU,2021-08-06 05:23:22,58.484,43.4088,58.15,63,96,6.42
150,Wattegama,LK,2021-08-06 05:23:22,6.7989,81.4808,93.78,39,99,9.73
151,Bambous Virieux,MU,2021-08-06 05:23:23,-20.3428,57.7575,73.22,73,40,16.11
152,Contamana,PE,2021-08-06 05:23:24,-7.3333,-75.0167,67.64,58,2,1.01
153,Mar Del Plata,AR,2021-08-06 05:23:24,-38.0023,-57.5575,53.13,29,7,11.99
154,Vardo,NO,2021-08-06 05:23:24,70.3705,31.1107,58.75,82,40,7.16
155,Dergachi,RU,2021-08-06 05:23:25,51.2328,48.7659,74.26,41,85,10.25
156,Kapaa,US,2021-08-06 05:23:26,22.0752,-159.319,80.92,79,75,3.0
157,Rincon,US,2021-08-06 05:23:26,32.296,-81.2354,77.86,88,90,4.61
158,Kokoda,PG,2021-08-06 05:23:27,-8.8785,147.7407,75.83,98,100,1.52
159,Merauke,ID,2021-08-06 05:23:27,-8.4667,140.3333,81.95,67,99,8.39
160,Mopipi,BW,2021-08-06 05:23:28,-21.1833,24.8833,54.1,43,0,7.74
161,Kidal,ML,2021-08-06 05:23:28,18.4411,1.4078,80.92,55,93,9.55
162,Brae,GB,2021-08-06 05:23:29,60.3964,-1.353,58.91,94,71,14.99
163,Balakhta,RU,2021-08-06 05:23:29,55.38,91.6,70.86,66,77,4.81
164,Mogadishu,SO,2021-08-06 05:21:34,2.0371,45.3438,77.16,76,60,17.56
165,Pindobacu,BR,2021-08-06 05:23:30,-10.7417,-40.3608,64.85,95,96,7.43
166,Georgetown,MY,2021-08-06 05:20:29,5.4112,100.3354,91.35,62,20,6.91
167,Pangnirtung,CA,2021-08-06 05:23:31,66.1451,-65.7125,42.8,75,90,13.8
168,Kargasok,RU,2021-08-06 05:23:31,59.0556,80.8572,72.97,62,32,4.92
169,Comodoro Rivadavia,AR,2021-08-06 05:19:41,-45.8667,-67.5,55.26,35,0,5.75
170,Mahebourg,MU,2021-08-06 05:21:04,-20.4081,57.7,73.26,73,40,16.11
171,Broome,US,2021-08-06 05:23:32,42.2506,-75.833,65.55,85,0,1.32
172,The Valley,AI,2021-08-06 05:23:13,18.217,-63.0578,82.09,71,22,16.91
173,Rio Grande,BR,2021-08-06 05:23:33,-32.035,-52.0986,57.94,93,57,13.87
174,Berdigestyakh,RU,2021-08-06 05:23:34,62.0989,126.6992,78.84,22,55,10.83
175,Tuatapere,NZ,2021-08-06 05:23:34,-46.1333,167.6833,48.81,80,54,5.1
176,Bonwapitse,BW,2021-08-06 05:23:35,-23.0766,26.7037,55.67,42,5,5.37
177,College,US,2021-08-06 05:20:11,64.8569,-147.8028,78.78,51,75,4.61
178,Mehamn,NO,2021-08-06 05:23:36,71.0357,27.8492,57.15,77,0,4.61
179,Saint-Pierre,RE,2021-08-06 05:23:36,-21.3393,55.4781,73.29,54,0,5.75
180,Vestmannaeyjar,IS,2021-08-06 05:23:37,63.4427,-20.2734,53.89,84,50,0.58
181,Garowe,SO,2021-08-06 05:23:37,8.4054,48.4845,77.67,52,53,28.74
182,Saldanha,ZA,2021-08-06 05:23:38,-33.0117,17.9442,42.85,83,0,3.02
183,Gazanjyk,TM,2021-08-06 05:23:38,39.2446,55.5154,92.05,26,3,6.53
184,Lompoc,US,2021-08-06 05:23:39,34.6391,-120.4579,64.42,88,90,9.22
185,Yellowknife,CA,2021-08-06 05:23:21,62.456,-114.3525,57.29,76,20,4.61
186,Qaanaaq,GL,2021-08-06 05:23:39,77.484,-69.3632,40.84,65,7,6.44
187,Ponta Do Sol,PT,2021-08-06 05:23:40,32.6667,-17.1,76.01,81,49,4.07
188,Sovetskiy,RU,2021-08-06 05:23:40,61.3614,63.5842,58.01,96,100,7.45
189,Vladivostok,RU,2021-08-06 05:23:03,43.1056,131.8735,91.42,81,83,4.79
190,Morondava,MG,2021-08-06 05:23:41,-20.2833,44.2833,71.29,54,76,8.34
191,Bayji,IQ,2021-08-06 05:23:42,34.9311,43.487,102.81,16,25,11.79
192,General Pico,AR,2021-08-06 05:21:14,-35.6566,-63.7568,50.86,64,25,9.53
193,Victoria,HK,2021-08-06 05:23:43,22.2855,114.1577,87.76,94,100,5.99
194,Mayo,US,2021-08-06 05:23:43,38.8876,-76.5119,75.22,84,1,0.0
195,Guerrero Negro,MX,2021-08-06 05:23:43,27.9769,-114.0611,71.65,82,2,9.19
196,New Norfolk,AU,2021-08-06 05:23:44,-42.7826,147.0587,57.76,64,95,3.0
197,Lagoa,PT,2021-08-06 05:23:44,39.05,-27.9833,72.07,89,19,18.84
198,Alta Floresta,BR,2021-08-06 05:23:45,-9.8756,-56.0861,72.88,39,95,2.04
199,Nsanje,MW,2021-08-06 05:23:45,-16.92,35.262,65.89,86,0,2.35
200,Dharchula,IN,2021-08-06 05:23:46,29.85,80.5333,75.74,89,100,0.67
201,Isangel,VU,2021-08-06 05:23:46,-19.55,169.2667,71.71,83,75,6.91
202,Minudasht,IR,2021-08-06 05:23:47,37.2289,55.3747,87.37,42,0,4.61
203,Stabat,ID,2021-08-06 05:23:47,3.761,98.4513,91.6,54,86,4.21
204,Geraldton,AU,2021-08-06 05:19:21,-28.7667,114.6,74.12,46,0,14.97
205,Sisimiut,GL,2021-08-06 05:23:48,66.9395,-53.6735,43.65,94,100,22.91
206,Klaksvik,FO,2021-08-06 05:23:49,62.2266,-6.589,58.12,97,100,6.98
207,Stepnyak,KZ,2021-08-06 05:23:50,52.8339,70.7803,79.56,35,76,6.17
208,Tselinnoye,RU,2021-08-06 05:23:50,53.0833,85.6667,60.21,93,100,8.88
209,Falun,SE,2021-08-06 05:23:51,60.6036,15.626,54.95,95,73,3.09
210,Marienburg,PL,2021-08-06 05:23:52,54.0359,19.0266,64.85,67,100,11.32
211,Santa Maria,BR,2021-08-06 05:23:52,-29.6842,-53.8069,57.9,86,100,4.54
212,Touros,BR,2021-08-06 05:23:53,-5.1989,-35.4608,74.3,86,41,14.92
213,Ulaangom,MN,2021-08-06 05:23:54,49.9811,92.0667,59.43,79,100,8.86
214,Pointe-Noire,CG,2021-08-06 05:23:54,-4.7761,11.8635,73.47,88,90,4.61
215,Ribeira Grande,PT,2021-08-06 05:23:55,38.5167,-28.7,73.08,91,52,15.39
216,Luderitz,NA,2021-08-06 05:23:55,-26.6481,15.1594,54.1,73,28,1.81
217,Athabasca,CA,2021-08-06 05:23:56,54.7169,-113.2854,71.42,50,43,9.46
218,Clyde River,CA,2021-08-06 05:23:57,70.4692,-68.5914,37.63,100,90,8.05
219,Chumikan,RU,2021-08-06 05:23:57,54.7183,135.315,52.5,97,100,21.47
220,Flinders,AU,2021-08-06 05:23:57,-34.5833,150.8552,72.05,52,0,3.0
221,Tanout,NE,2021-08-06 05:23:58,14.9709,8.8879,81.88,60,50,18.45
222,Yenagoa,NG,2021-08-06 05:23:59,4.9247,6.2642,74.07,93,100,3.83
223,Sao Pedro Do Sul,BR,2021-08-06 05:23:59,-29.6206,-54.1789,57.65,84,100,4.65
